trimestre,pibe_estatal
2004-03-31,"2,226,949.7"
2004-06-30,"2,234,735.2"
2004-09-30,"2,244,809.2"
2004-12-31,"2,260,342.1"
2005-03-31,"2,258,091.6"
2005-06-30,"2,275,031.1"
2005-09-30,"2,306,940.8"
2005-12-31,"2,264,522.1"
2006-03-31,"2,374,722.9"
2006-06-30,"2,375,920.8"
2006-09-30,"2,418,787.1"
2006-12-31,"2,328,557.9"
2007-03-31,"2,408,565.9"
2007-06-30,"2,384,221.0"
2007-09-30,"2,445,567.4"
2007-12-31,"2,367,585.4"
2008-03-31,"2,450,391.2"
2008-06-30,"2,395,356.9"
2008-09-30,"2,531,001.6"
2008-12-31,"2,452,219.9"
2009-03-31,"2,362,516.4"
2009-06-30,"2,166,510.9"
2009-09-30,"2,389,483.6"
2009-12-31,"2,367,831.3"
2010-03-31,"2,446,910.4"
2010-06-30,"2,287,425.1"
2010-09-30,"2,445,278.9"
2010-12-31,"2,425,671.8"
2011-03-31,"2,533,806.9"
2011-06-30,"2,332,450.0"
2011-09-30,"2,569,761.4"
2011-12-31,"2,515,338.0"
2012-03-31,"2,633,934.6"
2012-06-30,"2,438,708.1"
2012-09-30,"2,592,835.4"
2012-12-31,"2,598,596.7"
2013-03-31,"2,673,066.3"
2013-06-30,"2,479,978.8"
2013-09-30,"2,668,439.8"
2013-12-31,"2,626,906.9"
2014-03-31,"2,748,552.0"
2014-06-30,"2,503,000.3"
2014-09-30,"2,686,402.8"
2014-12-31,"2,666,305.5"
2015-03-31,"2,869,792.9"
2015-06-30,"2,587,230.0"
2015-09-30,"2,751,624.2"
2015-12-31,"2,705,692.6"
2016-03-31,"2,957,233.6"
2016-06-30,"2,632,606.6"
2016-09-30,"2,777,401.3"
2016-12-31,"2,827,543.6"
2017-03-31,"3,045,539.9"
2017-06-30,"2,684,909.3"
2017-09-30,"2,789,710.7"
2017-12-31,"2,824,719.7"
2018-03-31,"3,126,459.6"
2018-06-30,"2,706,598.0"
2018-09-30,"2,895,109.0"
2018-12-31,"2,898,492.7"
2019-03-31,"3,132,839.1"
2019-06-30,"2,679,500.0"
2019-09-30,"2,895,581.9"
2019-12-31,"2,804,127.1"
2020-03-31,"2,856,971.8"
2020-06-30,"2,151,114.3"
2020-09-30,"2,577,710.4"
2020-12-31,"2,650,584.1"
2021-03-31,"2,944,607.2"
2021-06-30,"2,659,692.8"
2021-09-30,"2,669,881.7"
2021-12-31,"2,594,129.6"
2022-03-31,"2,966,769.4"
2022-06-30,"2,706,016.8"
2022-09-30,"2,840,890.3"
2022-12-31,"2,795,685.9"
2023-03-31,"3,108,307.2"
2023-06-30,"2,859,903.6"
2023-09-30,"2,999,960.2"
2023-12-31,"2,829,452.9"
