municipio,quarter,pib_mun,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean
azcapotzalco,2012Q1,123174.5839800584,134.0,3503476.073972603,52290.68767123288,0.0,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605
azcapotzalco,2012Q2,123818.55716425276,134.0,4444708.452054795,52290.68767123288,0.0,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.8226027397261
azcapotzalco,2012Q3,124559.77915525668,134.0,4024974.8246575342,52272.400320227716,91.45163703629372,52290.68767123288,390.0925397031919,72.51147426749307,620.150684931507,237.8246575342466,340.6155043586551,381.49254581035404,430.64949297278065
azcapotzalco,2012Q4,125046.71299164821,134.0,3802760.64109589,50703.47521461187,740.2992411112982,50782.48767123288,378.38414339262596,69.7935602197411,611.6712328767123,229.04383561643837,331.10559817351594,370.01358904109594,417.00273059360734
azcapotzalco,2013Q1,125754.53316643953,134.0,3586557.8794520553,49130.92985550761,236.47359462680046,49133.18630136985,366.6487302649821,67.81230670522746,587.2794520547947,224.89041095890414,320.7881403640457,358.8766372677801,404.0843966973166
azcapotzalco,2013Q2,126383.86182870697,134.0,3927011.202739726,50346.297471022124,562.4217016483736,50655.852054794515,375.71863784344873,69.83148809546749,609.145205479452,228.79452054794513,328.81945907973306,367.33298208640673,413.2599578503688
azcapotzalco,2013Q3,127012.47161882157,134.0,3591410.5479452056,49880.70205479452,627.1390402260554,49683.81780821919,372.2440451850337,69.27437583338181,608.2328767123287,230.32054794520548,326.01456430745816,363.43371385083714,409.1440639269406
azcapotzalco,2013Q4,127609.05192995889,134.0,3408163.0328767127,46687.16483392757,1101.369887965239,46158.342465753434,348.4116778651311,63.644654862564444,577.7506849315068,216.33150684931508,305.6515387502346,340.28431225370616,382.3757365359354
azcapotzalco,2014Q2,128204.65658563017,134.0,2854413.8000000003,46793.66885245902,862.9291736003252,46863.808219178085,349.20648397357473,64.82988323282967,558.4438356164385,215.86575342465753,304.67801482146865,341.32162587019985,385.60143723332584
azcapotzalco,2014Q3,129177.52316686424,134.0,3828270.556164384,49080.39174569723,465.0168901639194,49003.39589041097,366.27158019177034,68.54393259139133,564.0054794520548,222.56164383561648,318.93270108886554,359.3527397260274,406.96588514225505
azcapotzalco,2014Q4,130421.8963139801,134.0,3433423.4356164383,49048.90622309197,258.4726264477096,49088.31643835617,366.03661360516395,66.73691289620011,553.301369863014,225.3643835616438,318.995313111546,361.1905870841488,407.90952054794525
azcapotzalco,2015Q1,131327.00359281673,134.0,3594904.0356164384,51355.77193737769,1330.0300971176064,51631.947945205466,383.2520293834156,68.74101479750719,587.1835616438354,230.2054794520548,334.3962622309198,379.5430919765167,427.7128767123287
azcapotzalco,2015Q3,132728.63047757713,134.0,4036854.671232877,60251.562257207115,540.8575933996095,60389.4712328767,449.6385243075158,80.57346995053302,661.2821917808219,271.1205479452053,392.66851359640157,448.6630341443468,503.9530770803517
azcapotzalco,2015Q4,133532.99996689789,134.0,4537326.676712329,59701.666798846425,889.2299697741554,60133.2205479452,445.5348268570629,77.46836790768688,655.7150684931507,269.61095890410957,390.8425829127614,445.7597512617159,498.85535328046143
azcapotzalco,2016Q1,133963.92173185083,134.0,4210319.991780822,57675.616325764684,289.30192323804806,57737.28493150685,430.4150472071992,75.03294168094489,625.8876712328764,261.8630136986302,377.5051510602364,430.9044098329893,481.9209513980109
azcapotzalco,2016Q2,134857.9885394609,134.0,4248736.687671233,59010.23177321157,1178.9155569189622,59104.93150684931,440.3748639791908,78.30311549112167,658.3945205479454,261.9917808219178,385.72597031963465,441.30751522070017,494.19499619482497
azcapotzalco,2016Q3,136130.74532700315,134.0,4484628.6630136985,61433.26935635204,277.2499607795306,61498.34246575343,458.45723400262705,81.44667626077948,674.9041095890411,271.9808219178082,402.3099924939013,460.46871833364605,514.7228936010509
azcapotzalco,2016Q4,136982.30298947557,134.0,4151253.9424657533,60163.1006154457,643.8059188320924,59940.547945205486,448.97836280183367,78.00335686287244,670.4410958904108,271.0931506849315,395.4594798491165,451.0839189994044,502.0212725828866
azcapotzalco,2017Q1,137373.60744966974,134.0,4233443.767123288,58797.83009893455,623.3049461620424,58678.46712328767,438.7897768577205,76.67973749910401,669.5397260273973,264.9506849315068,385.64374999999995,440.8511415525114,490.6067066210046
azcapotzalco,2017Q2,137431.05363168783,134.0,4290085.249315069,64031.12312410551,1785.1899591341996,64232.504109589056,477.84420241869776,85.38942548886293,729.1972602739728,273.5671232876713,419.3255775914946,480.15411981189936,535.9762625230014
azcapotzalco,2017Q3,137904.01821359165,134.0,5293726.77260274,67868.29195644538,477.48064166595856,68019.18356164386,506.4797907197416,89.72976405115317,749.3479452054796,296.4657534246575,445.40776255707755,508.7502985598876,567.3005005268705
